Date;Code;Close;Open;Low;High;Bid;Ask;WeightedAverage;Amount;Volume;NumberOfTrades
04.08.2020;РоснфтБО9;;;;;107,31;116,5;;0;0;0
04.08.2020;РоснфтБО14;;;;;104,5;;;0;0;0
04.08.2020;РоснфтБО10;;;;;104,51;;;0;0;0
04.08.2020;РоснфтБО11;;;;;104,5;;;0;0;0
04.08.2020;РоснфтБО12;;;;;104,5;;;0;0;0
04.08.2020;РоснфтБО13;;;;;104,5;;;0;0;0
04.08.2020;РоснфтБО15;;;;;99,01;;;0;0;0
04.08.2020;РоснфтБО17;;;;;98;;;0;0;0
04.08.2020;РоснфтБО16;;;;;98;;;0;0;0
04.08.2020;РоснфтБО24;;;;;98;;;0;0;0
04.08.2020;ЛенОбл2014;;;;;106,44;;;0;0;0
04.08.2020;ГТЛК БО-03;;;;;90,1;;;0;0;0
04.08.2020;ВТБ БО-30;101,7;101,7;101,65;101,7;101;101,7;101,7;2681;2726567,5;3
04.08.2020;РСХБ БО15;;;;;101,15;101,6;;0;0;0
04.08.2020;БизнКонс 1;;;;;65;;;0;0;0
04.08.2020;БКЗФин 01;;;;;;;;0;0;0
04.08.2020;ТрансФБО38;;;;;85;;;0;0;0
04.08.2020;ИА ТФБ1 А;;;;;90;;;0;0;0
04.08.2020;ИА ХМБ-2 А;;;;;90;;;0;0;0
04.08.2020;ИА ХМБ-2 Б;;;;;90;;;0;0;0
04.08.2020;АИЖК14-3А2;;;;;90,05;;;0;0;0
04.08.2020;АИЖК14-3А1;;;;;90,02;;;0;0;0
04.08.2020;ОФЗ 29006;104,045;103,975;103,931;104,089;104,001;104,045;103,999;234727;244114354,41;883
04.08.2020;ОФЗ 29007;105,59;105,76;105,4;105,775;105,553;105,59;105,519;167259;176490592,18;144
04.08.2020;ОФЗ 29008;107,799;107,11;107,11;107,799;107,798;107,799;107,621;312;335776,82;44
04.08.2020;ОФЗ 29009;109,039;108,981;108,743;109,199;109,03;109,039;109,031;2019;2201328,81;133
04.08.2020;ОФЗ 29010;109,199;109,398;108,72;109,398;109,101;109,199;109,06;5760;6281881,89;211
04.08.2020;ОткрФКББ07;92;92;92;92;86,55;92;92;8;7360;1
